Team,CF%,CF%,GF%,GF%,xGF%,xGF%,HDCF%,HDCF%,SH%,SH%,
Ottawa Senators,15,50.97,16,51.11,14,50.8,23,46.5,18,8.42,
Buffalo Sabres,7,52.94,10,54.76,12,50.98,15,51.22,6,10.6,

Boston Bruins,24,47.96,20,48.72,17,50.37,19,50.0,23,7.66,
Toronto Maple Leafs,10,51.95,5,58.82,7,52.81,2,57.34,14,9.62,

Calgary Flames,21,48.31,13,52.5,22,48.55,12,51.55,21,8.08,
Montreal Canadiens,31,42.71,29,38.98,32,41.14,32,40.17,11,9.96,

Philadelphia Flyers,28,46.39,31,34.04,27,45.79,26,44.44,27,7.02,
Carolina Hurricanes,1,62.87,4,60.53,1,62.83,1,60.0,19,8.39,

Pittsburgh Penguins,12,51.67,27,40.32,15,50.49,20,49.35,24,7.42,
New York Islanders,6,53.18,21,48.65,5,55.06,8,53.11,29,6.06,

Tampa Bay Lightning,17,50.19,9,56.6,19,49.95,17,50.74,4,12.1,
St Louis Blues,22,48.09,24,46.0,25,46.36,22,47.39,17,8.68,

Los Angeles Kings,3,53.97,6,57.69,2,58.2,3,57.01,10,9.97,
Minnesota Wild,20,48.91,1,67.5,9,51.54,11,51.57,5,10.93,

Utah Hockey Club,5,53.19,17,50.0,20,49.92,10,52.13,9,10.16,
Winnipeg Jets,16,50.29,7,57.41,21,49.6,16,50.97,13,9.84,

Seattle Kraken,23,48.0,22,47.06,28,45.11,24,46.45,16,8.99,
Colorado Avalanche,4,53.87,28,40.0,8,52.68,13,51.53,26,7.14,

Vancouver Canucks,11,51.92,14,52.27,6,53.49,6,55.06,12,9.96,
Anaheim Ducks,30,43.9,25,43.33,31,43.0,31,41.15,31,5.44,

Columbus Blue Jackets,19,49.14,12,52.54,24,46.96,30,43.3,3,12.76,
San Jose Sharks,29,45.9,30,34.69,29,44.83,27,44.0,28,6.34,

